Sample description: primus/qt temporary file
Sample: primus/qt tempo  c= 0 mg/ml  Code: tmp
Parent(s): D:/ashish/arpit_syn/dat files/syn8.dat
 3.009020e+000  1.675120e+002 -1.000000e+000
 3.015400e+000  3.295090e+002 -1.000000e+000
 3.021790e+000  1.723580e+002 -1.000000e+000
 3.028180e+000  8.135460e+002 -1.000000e+000
 3.034570e+000  6.016260e+002  4.772900e+002
 3.040960e+000  4.068650e+002 -1.000000e+000
 3.047340e+000  4.693620e+002 -1.000000e+000
 3.053730e+000  4.591570e+002 -1.000000e+000
 3.060120e+000  1.142330e+003 -1.000000e+000
 3.066510e+000  4.972180e+002 -1.000000e+000
 3.072900e+000  1.158830e+002 -1.000000e+000
 3.079280e+000  3.331660e+002 -1.000000e+000
 3.085670e+000  1.428090e+002 -1.000000e+000
 3.092060e+000  1.770400e+002 -1.000000e+000
 3.098450e+000  2.478560e+002 -1.000000e+000
 3.104840e+000  1.211720e+002 -1.000000e+000
 3.111220e+000  9.169440e+002 -1.000000e+000
 3.117610e+000  2.196540e+002 -1.000000e+000
 3.124000e+000  1.880580e+002 -1.000000e+000
 3.130390e+000  2.102700e+002 -1.000000e+000
 3.136780e+000  3.712740e+002 -1.000000e+000
 3.143160e+000  1.204070e+002 -1.000000e+000
 3.149550e+000  3.362460e+002 -1.000000e+000
 3.155940e+000  2.779650e+002 -1.000000e+000
 3.162330e+000  4.738100e+002 -1.000000e+000
 3.168710e+000  7.272940e+002 -1.000000e+000
 3.175100e+000  3.192850e+002  2.921370e+002
 3.181490e+000  2.185940e+002 -1.000000e+000
 3.187880e+000  3.495470e+002 -1.000000e+000
 3.194260e+000  1.298090e+001 -1.000000e+000
 3.200650e+000  6.357970e+002 -1.000000e+000
 3.207040e+000  1.609660e+002 -1.000000e+000
 3.213430e+000  3.220270e+002  3.951840e+002
 3.219810e+000  3.068690e+002 -1.000000e+000
 3.226200e+000  3.519920e+002  3.466810e+002
 3.232590e+000  7.084570e+002 -1.000000e+000
 3.238980e+000  4.390790e+002 -1.000000e+000
 3.245360e+000  3.131930e+002 -1.000000e+000
 3.251750e+000  1.749120e+002  1.509230e+002
 3.258140e+000  1.810460e+002 -1.000000e+000
 3.264530e+000  4.392270e+002 -1.000000e+000
 3.270910e+000  5.273510e+002  2.370480e+002
 3.277300e+000  4.338790e+002 -1.000000e+000
 3.283690e+000  2.032060e+002 -1.000000e+000
 3.290070e+000  1.196350e+002 -1.000000e+000
 3.296460e+000  2.481260e+002 -1.000000e+000
 3.302850e+000  4.950300e+002 -1.000000e+000
 3.309240e+000  1.699970e+002 -1.000000e+000
 3.315620e+000  4.796200e+002 -1.000000e+000
 3.322010e+000  5.516660e+002 -1.000000e+000
 3.328400e+000  3.314160e+002 -1.000000e+000
 3.334790e+000  3.442110e+002 -1.000000e+000
 3.341170e+000  1.029420e+002 -1.000000e+000
 3.347560e+000  1.977730e+002 -1.000000e+000
 3.353950e+000  4.286190e+002 -1.000000e+000
 3.360330e+000  1.494960e+002 -1.000000e+000
 3.366720e+000  1.378790e+002 -1.000000e+000
 3.373110e+000  1.677680e+002 -1.000000e+000
 3.379490e+000  2.586690e+002 -1.000000e+000
 3.385880e+000  3.634960e+002 -1.000000e+000
 3.392270e+000  1.886850e+002 -1.000000e+000
 3.398660e+000  2.622680e+002 -1.000000e+000
 3.405040e+000  2.125270e+002 -1.000000e+000
 3.411430e+000  5.020940e+002 -1.000000e+000
